Indegree,Outdegree,NumSCC,betweenness,closeness
7,12,0,923.6026282974939,0.3773699072206535
1,11,0,65.0074748872571,0.3964823055732147
8,53,0,9755.408829719348,0.44013173370971537
11,6,0,1300.1141046423309,0.3693249111725227
1,4,442,33.74009205339527,0.3542889604241621
1,9,0,57.93454801853961,0.351295531355614
7,16,0,5591.404197001832,0.3949757230314545
1,7,0,74.69518194407262,0.3707152764018229
7,8,0,2095.4631964955697,0.35116366366366364
5,14,0,4754.284924365836,0.3945592576971742
7,20,0,5359.06572188025,0.38490022629088666
1,5,0,0.0,0.33470483005366725
15,13,0,3942.153213013902,0.35918602418890383
1,3,0,4.173747653312871,0.32824561403508773
10,12,0,1553.829760152658,0.369689784627544
2,14,0,4137.019122265112,0.4101271372205173
7,15,0,4398.279184734957,0.3948090314412323
1,6,0,9.403642848980681,0.35024335454885813
0,8,456,0.0,0.369689784627544
8,3,0,1122.698102244084,0.3230875496460024
6,12,0,4940.247873639538,0.35235404896421846
2,1,0,0.0,0.25335138794854434
3,8,0,150.36454823771618,0.36001539349624784
3,8,0,79.8469985405005,0.3614760432766615
4,15,0,2317.2911818789885,0.38371616078753074
0,1,463,0.0,0.29293878190073586
2,2,0,15.762119747609873,0.3040793109052495
1,11,0,37.986825150499726,0.36379545012638537
1,0,466,0.0,0.2759994099424694
0,1,467,0.0,0.3174414658975229
2,5,0,1218.3297137598986,0.36414947450369795
0,1,469,0.0,0.32415107415107414
4,12,0,227.70905511598707,0.38497942386831274
1,8,0,133.74592949115427,0.3792055127685448
0,6,472,0.0,0.3685247193224345
0,3,473,0.0,0.3166892349356804
2,2,0,58.15761456189398,0.36036209553158705
5,10,0,1232.163615595045,0.3754012841091493
1,14,0,2127.091133151292,0.38168094655242757
1,1,0,0.0,0.24748677248677248
4,8,0,2214.840713654515,0.34861188746040617
1,2,0,1.692086750042489,0.3454579025110783
4,16,0,551.0146971048598,0.40115780445969124
0,48,481,0.0,0.4533559486309668
6,6,0,269.0730875406908,0.38074888074888075
1,3,0,17.548030756982907,0.32303176795580113
3,14,0,352.92634867888734,0.3731551655364978
4,9,0,148.66516284430458,0.36845214651437574
7,17,0,5113.180424022478,0.38569367140795713
0,10,487,0.0,0.3763830215248441
9,13,0,2224.4610430532757,0.3692520228932307
1,7,0,1787.4321380790043,0.35348573587757415
5,9,0,320.3747805126282,0.3567206863679695
29,4,0,5917.23962633694,0.3811366877164392
1,6,0,21.082773342501444,0.3795131845841785
9,11,0,2709.4373604206567,0.39036094304193614
10,14,0,6282.896817257869,0.3980851063829787
2,2,0,292.21369787381354,0.3344654987486593
8,3,0,677.8443830867783,0.3398728428701181
10,9,0,873.718681337348,0.3974086661002549
5,2,0,34.47225950952965,0.33681368136813683
20,8,0,965.5584200636654,0.38418891170431213
0,3,500,0.0,0.3483522621485757
15,13,0,8110.193799889016,0.3919966478106013
32,15,0,8978.788329546216,0.3497196261682243
0,2,503,0.0,0.3363897878460985
2,2,1598,3.25,0.22898054093746176
7,10,0,3761.5294147101413,0.3721901730654466
10,5,0,734.7752426762452,0.3647884577890427
1,1,0,10.886631478833566,0.3180890853451207
4,12,0,3678.317418539579,0.40550498482878194
2,6,0,34.01216661707536,0.37721774193548385
1,2,0,53.64944621980074,0.3169037940379404
185,29,0,55713.64534072301,0.47021864790148277
15,13,0,13926.9045850423,0.36743912018853103
4,3,0,1758.7319842906004,0.33524457982440425
2,36,0,236.74751485782843,0.42853870819972517
2,4,0,798.5969417578066,0.3284761235955056
60,32,0,41183.47493145032,0.45500972762645914
1,11,0,62.58285439186721,0.3992744344857021
11,35,0,7097.7177325435905,0.44013173370971537
1,6,32,27.202849640785242,0.3683070866141732
0,8,520,0.0,0.35733384262796025
